api_endpoint,method,request_app,filter_results,resource_type,permission
/v2/bibles/{source_name}/books,POST,None,FALSE,None,create
/v2/bibles/{source_name}/books,PUT,None,FALSE,None,edit
/v2/bibles/{source_name}/versification,GET,Autographa,FALSE,None,refer-for-translation
/v2/bibles/{source_name}/versification,GET,Vachan-online or vachan-app,FALSE,None,view-on-web
/v2/bibles/{source_name}/versification,GET,VachanAdmin,FALSE,None,read-via-vachanadmin
/v2/bibles/{source_name}/versification,GET,API-user,FALSE,None,read-via-api
/v2/bibles/{source_name}/verses,GET,Autographa,FALSE,None,refer-for-translation
/v2/bibles/{source_name}/verses,GET,Vachan-online or vachan-app,FALSE,None,view-on-web
/v2/bibles/{source_name}/verses,GET,VachanAdmin,FALSE,None,read-via-vachanadmin
/v2/bibles/{source_name}/verses,GET,API-user,FALSE,None,read-via-api
/v2/bibles/{source_name}/audios,POST,None,FALSE,None,create
/v2/bibles/{source_name}/audios,PUT,None,FALSE,None,edit
/v2/commentaries/{source_name},GET,Autographa,FALSE,None,refer-for-translation
/v2/commentaries/{source_name},GET,Vachan-online or vachan-app,FALSE,None,view-on-web
/v2/commentaries/{source_name},GET,VachanAdmin,FALSE,None,read-via-vachanadmin
/v2/commentaries/{source_name},GET,API-user,FALSE,None,read-via-api
/v2/commentaries/{source_name},POST,None,FALSE,None,create
/v2/commentaries/{source_name},PUT,None,FALSE,None,edit
/v2/dictionaries/{source_name},GET,Autographa,FALSE,None,refer-for-translation
/v2/dictionaries/{source_name},GET,Vachan-online or vachan-app,FALSE,None,view-on-web
/v2/dictionaries/{source_name},GET,VachanAdmin,FALSE,None,read-via-vachanadmin
/v2/dictionaries/{source_name},GET,API-user,FALSE,None,read-via-api
/v2/dictionaries/{source_name},POST,None,FALSE,None,create
/v2/dictionaries/{source_name},PUT,None,FALSE,None,edit
/v2/infographics/{source_name},GET,Autographa,FALSE,None,refer-for-translation
/v2/infographics/{source_name},GET,Vachan-online or vachan-app,FALSE,None,view-on-web
/v2/infographics/{source_name},GET,VachanAdmin,FALSE,None,read-via-vachanadmin
/v2/infographics/{source_name},GET,API-user,FALSE,None,read-via-api
/v2/infographics/{source_name},POST,None,FALSE,None,create
/v2/infographics/{source_name},PUT,None,FALSE,None,edit
/v2/biblevideos/{source_name},GET,Autographa,FALSE,None,refer-for-translation
/v2/biblevideos/{source_name},GET,Vachan-online or vachan-app,FALSE,None,view-on-web
/v2/biblevideos/{source_name},GET,VachanAdmin,FALSE,None,read-via-vachanadmin
/v2/biblevideos/{source_name},GET,API-user,FALSE,None,read-via-api
/v2/biblevideos/{source_name},POST,None,FALSE,None,create
/v2/biblevideos/{source_name},PUT,None,FALSE,None,edit
/v2/autographa/projects,GET,Autographa,TRUE,None,view-project
/v2/autographa/projects,POST,Autographa,FALSE,None,create
/v2/autographa/projects,PUT,Autographa,FALSE,"contents like bibles, commentaries, infographics, dictionary or videos",translate
/v2/autographa/projects,PUT,Autographa,FALSE,Ag or translation project,edit-Settings
/v2/autographa/project/user,POST,Autographa,FALSE,None,create-user
/v2/autographa/project/user,PUT,Autographa,FALSE,None,edit-Settings
/v2/autographa/project/tokens,GET,Autographa,FALSE,None,read-draft
/v2/autographa/project/tokens,PUT,Autographa,FALSE,None,edit-draft
/v2/autographa/project/token-translations,GET,Autographa,FALSE,None,read-draft
/v2/autographa/project/token-sentences,PUT,Autographa,FALSE,None,edit-draft
/v2/autographa/project/draft,GET,Autographa,FALSE,None,read-draft
/v2/autographa/project/sentences,GET,Autographa,FALSE,None,view-project
/v2/autographa/project/progress,GET,Autographa,FALSE,None,view-project
/v2/autographa/project/versification,GET,Autographa,FALSE,None,view-project
/v2/autographa/project/suggestions,PUT,Autographa,FALSE,None,edit-draft
/v2/translation/suggestions,PUT,None,FALSE,None,process
/v2/translation/tokens,PUT,None,FALSE,None,process
/v2/translation/token-translate,PUT,None,FALSE,None,process
/v2/translation/draft,PUT,None,FALSE,None,process
/v2/nlp/gloss,GET,None,FALSE,None,read
/v2/nlp/learn/gloss,POST,None,FALSE,None,create
/v2/nlp/learn/alignment,POST,None,FALSE,None,create
/v2/nlp/stopwords/generate,POST,None,FALSE,Lookup contents,create
/v2/nlp/stopwords/generate,POST,None,FALSE,"contents like bibles, commentaries, infographics, dictionary or videos",read-via-api
/v2/lookup/stopwords/{language_code},GET,None,FALSE,None,read
/v2/lookup/stopwords/{language_code},PUT,None,FALSE,None,edit
/v2/lookup/stopwords/{language_code},POST,None,FALSE,None,create
/v2/jobs,GET,None,FALSE,None,read
/v2/media/gitlab/stream,GET,None,FALSE,Media contents,stream
/v2/media/gitlab/stream,GET,None,FALSE,"contents like bibles, commentaries, infographics, dictionary or videos",read-via-api
/v2/media/gitlab/download,GET,None,FALSE,Media contents,download
/v2/media/gitlab/download,GET,None,FALSE,"contents like bibles, commentaries, infographics, dictionary or videos",read-via-api
