lang_code,lang_name,lang_code_alias,lang_id
ewe_Latn,Ewe,ewe_Latn,101250
fao_Latn,Faroese,fao_Latn,101251
fij_Latn,Fijian,fij_Latn,101252
fin_Latn,Finnish,fin_Latn,101253
fon_Latn,Fon,fon_Latn,101254
fra_Latn,French,fra_Latn,101255
fur_Latn,Friulian,fur_Latn,101256
fuv_Latn,Nigerian Fulfulde,fuv_Latn,101257
gla_Latn,Scottish Gaelic,gla_Latn,101258
gle_Latn,Irish,gle_Latn,101259
glg_Latn,Galician,glg_Latn,101260
grn_Latn,Guarani,grn_Latn,101261
guj_Gujr,Gujarati,guj_Gujr,101262
hat_Latn,Haitian Creole,hat_Latn,101263
hau_Latn,Hausa,hau_Latn,101264
heb_Hebr,Hebrew,heb_Hebr,101265
hin_Deva,Hindi,hin_Deva,101266
hne_Deva,Chhattisgarhi,hne_Deva,101267
hrv_Latn,Croatian,hrv_Latn,101268
hun_Latn,Hungarian,hun_Latn,101269
hye_Armn,Armenian,hye_Armn,101270
ibo_Latn,Igbo,ibo_Latn,101271
ilo_Latn,Ilocano,ilo_Latn,101272
ind_Latn,Indonesian,ind_Latn,101273
isl_Latn,Icelandic,isl_Latn,101274
ita_Latn,Italian,ita_Latn,101275
jav_Latn,Javanese,jav_Latn,101276
jpn_Jpan,Japanese,jpn_Jpan,101277
kab_Latn,Kabyle,kab_Latn,101278
kac_Latn,Jingpho,kac_Latn,101279
kam_Latn,Kamba,kam_Latn,101280
kan_Knda,Kannada,kan_Knda,101281
kas_Arab,Kashmiri (Arabic script),kas_Arab,101282
kas_Deva,Kashmiri (Devanagari script),kas_Deva,101283
kat_Geor,Georgian,kat_Geor,101284
knc_Arab,Central Kanuri (Arabic script),knc_Arab,101285
knc_Latn,Central Kanuri (Latin script),knc_Latn,101286
kaz_Cyrl,Kazakh,kaz_Cyrl,101287
kbp_Latn,Kabiyè,kbp_Latn,101288
kea_Latn,Kabuverdianu,kea_Latn,101289
khm_Khmr,Khmer,khm_Khmr,101290
kik_Latn,Kikuyu,kik_Latn,101291
kin_Latn,Kinyarwanda,kin_Latn,101292
kir_Cyrl,Kyrgyz,kir_Cyrl,101293
kmb_Latn,Kimbundu,kmb_Latn,101294
kmr_Latn,Northern Kurdish,kmr_Latn,101295
kon_Latn,Kikongo,kon_Latn,101296
kor_Hang,Korean,kor_Hang,101297
lao_Laoo,Lao,lao_Laoo,101298
lij_Latn,Ligurian,lij_Latn,101299
lim_Latn,Limburgish,lim_Latn,101300
lin_Latn,Lingala,lin_Latn,101301
lit_Latn,Lithuanian,lit_Latn,101302
lmo_Latn,Lombard,lmo_Latn,101303
ltg_Latn,Latgalian,ltg_Latn,101304
ltz_Latn,Luxembourgish,ltz_Latn,101305
lua_Latn,Luba-Kasai,lua_Latn,101306
lug_Latn,Ganda,lug_Latn,101307
luo_Latn,Luo,luo_Latn,101308
lus_Latn,Mizo,lus_Latn,101309
lvs_Latn,Standard Latvian,lvs_Latn,101310
mag_Deva,Magahi,mag_Deva,101311
mai_Deva,Maithili,mai_Deva,101312
mal_Mlym,Malayalam,mal_Mlym,101313
mar_Deva,Marathi,mar_Deva,101314
min_Arab,Minangkabau (Arabic script),min_Arab,101315
min_Latn,Minangkabau (Latin script),min_Latn,101316
mkd_Cyrl,Macedonian,mkd_Cyrl,101317
plt_Latn,Plateau Malagasy,plt_Latn,101318
mlt_Latn,Maltese,mlt_Latn,101319
mni_Beng,Meitei (Bengali script),mni_Beng,101320
khk_Cyrl,Halh Mongolian,khk_Cyrl,101321
mos_Latn,Mossi,mos_Latn,101322
mri_Latn,Maori,mri_Latn,101323
mya_Mymr,Burmese,mya_Mymr,101324
nld_Latn,Dutch,nld_Latn,101325
nno_Latn,Norwegian Nynorsk,nno_Latn,101326
nob_Latn,Norwegian Bokmål,nob_Latn,101327
npi_Deva,Nepali,npi_Deva,101328
nso_Latn,Northern Sotho,nso_Latn,101329
nus_Latn,Nuer,nus_Latn,101330
nya_Latn,Nyanja,nya_Latn,101331
oci_Latn,Occitan,oci_Latn,101332
gaz_Latn,West Central Oromo,gaz_Latn,101333
ory_Orya,Odia,ory_Orya,101334
pag_Latn,Pangasinan,pag_Latn,101335
pan_Guru,Eastern Panjabi,pan_Guru,101336
pap_Latn,Papiamento,pap_Latn,101337
pes_Arab,Western Persian,pes_Arab,101338
pol_Latn,Polish,pol_Latn,101339
por_Latn,Portuguese,por_Latn,101340
prs_Arab,Dari,prs_Arab,101341
pbt_Arab,Southern Pashto,pbt_Arab,101342
quy_Latn,Ayacucho Quechua,quy_Latn,101343
ron_Latn,Romanian,ron_Latn,101344
run_Latn,Rundi,run_Latn,101345
rus_Cyrl,Russian,rus_Cyrl,101346
sag_Latn,Sango,sag_Latn,101347
san_Deva,Sanskrit,san_Deva,101348
sat_Olck,Santali,sat_Olck,101349
scn_Latn,Sicilian,scn_Latn,101350
shn_Mymr,Shan,shn_Mymr,101351
sin_Sinh,Sinhala,sin_Sinh,101352
slk_Latn,Slovak,slk_Latn,101353
slv_Latn,Slovenian,slv_Latn,101354
smo_Latn,Samoan,smo_Latn,101355
sna_Latn,Shona,sna_Latn,101356
snd_Arab,Sindhi,snd_Arab,101357
som_Latn,Somali,som_Latn,101358
sot_Latn,Southern Sotho,sot_Latn,101359
spa_Latn,Spanish,spa_Latn,101360
als_Latn,Tosk Albanian,als_Latn,101361
srd_Latn,Sardinian,srd_Latn,101362
srp_Cyrl,Serbian,srp_Cyrl,101363
ssw_Latn,Swati,ssw_Latn,101364
sun_Latn,Sundanese,sun_Latn,101365
swe_Latn,Swedish,swe_Latn,101366
swh_Latn,Swahili,swh_Latn,101367
szl_Latn,Silesian,szl_Latn,101368
tam_Taml,Tamil,tam_Taml,101369
tat_Cyrl,Tatar,tat_Cyrl,101370
tel_Telu,Telugu,tel_Telu,101371
tgk_Cyrl,Tajik,tgk_Cyrl,101372
tgl_Latn,Tagalog,tgl_Latn,101373
tha_Thai,Thai,tha_Thai,101374
tir_Ethi,Tigrinya,tir_Ethi,101375
taq_Latn,Tamasheq (Latin script),taq_Latn,101376
taq_Tfng,Tamasheq (Tifinagh script),taq_Tfng,101377
tpi_Latn,Tok Pisin,tpi_Latn,101378
tsn_Latn,Tswana,tsn_Latn,101379
tso_Latn,Tsonga,tso_Latn,101380
tuk_Latn,Turkmen,tuk_Latn,101381
tum_Latn,Tumbuka,tum_Latn,101382
tur_Latn,Turkish,tur_Latn,101383
twi_Latn,Twi,twi_Latn,101384
tzm_Tfng,Central Atlas Tamazight,tzm_Tfng,101385
uig_Arab,Uyghur,uig_Arab,101386
ukr_Cyrl,Ukrainian,ukr_Cyrl,101387
umb_Latn,Umbundu,umb_Latn,101388
urd_Arab,Urdu,urd_Arab,101389
uzn_Latn,Northern Uzbek,uzn_Latn,101390
vec_Latn,Venetian,vec_Latn,101391
vie_Latn,Vietnamese,vie_Latn,101392
war_Latn,Waray,war_Latn,101393
wol_Latn,Wolof,wol_Latn,101394
xho_Latn,Xhosa,xho_Latn,101395
ydd_Hebr,Eastern Yiddish,ydd_Hebr,101396
yor_Latn,Yoruba,yor_Latn,101397
yue_Hant,Yue Chinese,yue_Hant,101398
zho_Hans,Chinese (Simplified),zho_Hans,101399
zho_Hant,Chinese (Traditional),zho_Hant,101400
zsm_Latn,Standard Malay,zsm_Latn,101401
zul_Latn,Zulu,zul_Latn,101402
